EnvSteps,Episodes,Iters,TimeThisIter,TimeTotal,EpisodeReturnMean,WinX,EpisodeLengthMean,Tie,WinO,ReturnO,ReturnX
460000,59526,115,16.2609,1860.289,1.2779,0.0919,7.886,0.8578,0.0503,0.632,0.646
464000,60029,116,15.9533,1876.2423,1.312,0.0903,7.905,0.8602,0.0494,0.648,0.664
468000,60533,117,16.4184,1892.6607,1.3311,0.0889,7.95,0.8626,0.0485,0.6536,0.6776
472000,61034,118,16.3078,1908.9686,1.3434,0.0873,7.97,0.8651,0.0476,0.6647,0.6787
476000,61536,119,16.3353,1925.3038,1.3366,0.0857,7.97,0.8673,0.047,0.6763,0.6603
480000,62038,120,16.0236,1941.3274,1.327,0.084,7.96,0.8694,0.0466,0.6805,0.6465
484000,62542,121,16.0738,1957.4013,1.3257,0.0825,7.953,0.8712,0.0462,0.6768,0.6488
488000,63045,122,15.7492,1973.1505,1.3257,0.0809,7.951,0.8734,0.0457,0.6768,0.6488
492000,63547,123,15.5938,1988.7443,1.3216,0.0795,7.964,0.8752,0.0453,0.6738,0.6478
496000,64052,124,15.0353,2003.7796,1.3025,0.0789,7.939,0.8767,0.0444,0.6322,0.6702
500000,64557,125,15.2188,2018.9984,1.3052,0.0777,7.923,0.8785,0.0438,0.6276,0.6776
504000,65061,126,15.6841,2034.6824,1.3147,0.0767,7.939,0.8802,0.0431,0.6434,0.6714
508000,65566,127,15.7204,2050.4028,1.3161,0.0755,7.933,0.882,0.0425,0.6451,0.6711
512000,66070,128,16.0662,2066.469,1.3216,0.0745,7.917,0.8838,0.0417,0.6478,0.6738
516000,66595,129,16.5411,2083.0101,1.2329,0.0749,7.761,0.8835,0.0416,0.5785,0.6545
520000,67107,130,16.7816,2099.7917,1.2002,0.0742,7.723,0.8841,0.0416,0.5781,0.6221
524000,67610,131,17.6272,2117.4189,1.2888,0.0734,7.879,0.8857,0.0409,0.6394,0.6494
528000,68125,132,16.8092,2134.2281,1.2738,0.0723,7.864,0.8858,0.0419,0.6629,0.6109
532000,68634,133,17.0898,2151.318,1.2452,0.0711,7.812,0.8868,0.0421,0.6796,0.5656
536000,69139,134,17.2898,2168.6078,1.297,0.0699,7.881,0.8882,0.0419,0.6815,0.6155
540000,69641,135,17.3001,2185.9079,1.3325,0.0687,7.946,0.89,0.0413,0.6752,0.6572
544000,70143,136,17.3742,2203.2821,1.3448,0.0676,7.974,0.8919,0.0405,0.6704,0.6744
548000,70654,137,16.8446,2220.1267,1.3188,0.0671,7.907,0.893,0.0399,0.6364,0.6824
552000,71158,138,17.1376,2237.2643,1.3025,0.0663,7.887,0.8944,0.0393,0.6242,0.6782
556000,71669,139,17.3844,2254.6487,1.2997,0.0659,7.874,0.8953,0.0389,0.6309,0.6689
560000,72173,140,17.2661,2271.9148,1.3011,0.0648,7.88,0.8967,0.0385,0.6486,0.6526
564000,72680,141,17.4038,2289.3186,1.3025,0.0641,7.918,0.8976,0.0383,0.6582,0.6442
568000,73185,142,17.5364,2306.855,1.2957,0.0635,7.9,0.8987,0.0378,0.6418,0.6538
572000,73689,143,17.5562,2324.4112,1.3216,0.0625,7.931,0.9004,0.0372,0.6558,0.6658
576000,74190,144,17.3801,2341.7913,1.342,0.0613,7.964,0.9021,0.0366,0.675,0.667
580000,74696,145,17.784,2359.5753,1.3229,0.0609,7.941,0.903,0.0361,0.6495,0.6735
584000,75202,146,17.4274,2377.0028,1.3052,0.0602,7.905,0.9042,0.0357,0.6276,0.6776
588000,75704,147,17.4317,2394.4345,1.3257,0.0591,7.933,0.9057,0.0352,0.6568,0.6688
592000,76211,148,16.7539,2411.1884,1.3229,0.0585,7.929,0.9069,0.0346,0.6495,0.6735
596000,76716,149,16.3191,2427.5075,1.3161,0.0578,7.908,0.9083,0.0339,0.6351,0.6811
600000,77218,150,15.7254,2443.2329,1.3325,0.057,7.942,0.9096,0.0333,0.6512,0.6812
604000,77723,151,15.9799,2459.2128,1.3297,0.0564,7.947,0.9108,0.0328,0.6499,0.6799
608000,78230,152,15.6261,2474.8389,1.3011,0.0562,7.912,0.9113,0.0325,0.6286,0.6726
612000,78734,153,15.8418,2490.6807,1.2984,0.0559,7.912,0.912,0.0321,0.6292,0.6692
616000,79235,154,15.9112,2506.5919,1.3338,0.055,7.959,0.9134,0.0316,0.6549,0.6789
620000,79739,155,15.7634,2522.3553,1.3366,0.0543,7.964,0.9146,0.0311,0.6563,0.6803
624000,80239,156,15.7308,2538.0861,1.3352,0.0534,7.962,0.9162,0.0305,0.6546,0.6806
628000,80751,157,16.1671,2554.2533,1.3188,0.0532,7.903,0.9168,0.0301,0.6444,0.6744
632000,81261,158,16.3634,2570.6167,1.2888,0.0527,7.83,0.9174,0.0299,0.6294,0.6594
636000,81764,159,16.1536,2586.7703,1.3093,0.052,7.895,0.9185,0.0296,0.6486,0.6606
640000,82266,160,16.1668,2602.9371,1.3325,0.0511,7.96,0.9197,0.0292,0.6672,0.6652
644000,82773,161,16.2501,2619.1871,1.3134,0.0509,7.921,0.9202,0.029,0.6497,0.6637
648000,83278,162,16.2731,2635.4603,1.3066,0.0504,7.907,0.9212,0.0285,0.6293,0.6773
652000,83783,163,16.3208,2651.7811,1.3229,0.0498,7.929,0.9223,0.0279,0.6375,0.6855
656000,84290,164,16.2106,2667.9917,1.3175,0.049,7.914,0.923,0.028,0.6567,0.6607
660000,84795,165,15.537,2683.5287,1.3134,0.0482,7.908,0.9239,0.0279,0.6797,0.6337
664000,85297,166,15.4452,2698.9739,1.3297,0.0474,7.945,0.9251,0.0275,0.6739,0.6559
668000,85797,167,15.1054,2714.0794,1.3516,0.0465,7.981,0.9265,0.0269,0.6688,0.6828
672000,86302,168,15.2219,2729.3013,1.3352,0.0458,7.955,0.9274,0.0268,0.6726,0.6626
676000,86806,169,15.0103,2744.3116,1.3147,0.0452,7.926,0.9283,0.0265,0.6574,0.6574
680000,87307,170,15.4647,2759.7763,1.3257,0.0446,7.955,0.9294,0.026,0.6488,0.6768
684000,87810,171,15.9264,2775.7027,1.3393,0.0437,7.977,0.9305,0.0257,0.6696,0.6696
688000,88320,172,15.6438,2791.3465,1.3079,0.0442,7.905,0.9305,0.0253,0.631,0.677
692000,88833,173,15.8213,2807.1678,1.2575,0.0444,7.808,0.9301,0.0255,0.5987,0.6587
696000,89340,174,15.8121,2822.9799,1.2725,0.044,7.842,0.9305,0.0254,0.6292,0.6432
700000,89845,175,15.6966,2838.6765,1.3052,0.0438,7.91,0.9311,0.0252,0.6376,0.6676
704000,90349,176,15.818,2854.4945,1.3229,0.0431,7.933,0.932,0.0249,0.6575,0.6655
708000,90851,177,16.0105,2870.5049,1.3379,0.0424,7.955,0.9331,0.0245,0.668,0.67
712000,91357,178,16.0256,2886.5305,1.3297,0.0422,7.928,0.9337,0.0241,0.6479,0.6819
716000,91860,179,15.7059,2902.2364,1.3284,0.0417,7.925,0.9346,0.0237,0.6442,0.6842
720000,92361,180,16.0432,2918.2796,1.3475,0.041,7.969,0.9358,0.0233,0.6677,0.6797
724000,92863,181,16.0293,2934.3089,1.3379,0.0406,7.973,0.9365,0.0229,0.66,0.678
