EnvSteps,Episodes,Iters,TimeThisIter,TimeTotal,WinX,EpisodeLengthMean,EpisodeReturnMean,WinO,Tie
916000,121709,229,15.8782,3730.7493,0.0893,7.6,-0.4474,0.0656,0.8451
920000,122234,230,15.7842,3746.5335,0.0897,7.594,-0.4453,0.0655,0.8448
924000,122755,231,15.5015,3762.0349,0.0898,7.666,-0.4501,0.0658,0.8445
928000,123287,232,16.005,3778.0399,0.0905,7.592,-0.4319,0.0663,0.8433
932000,123814,233,15.9303,3793.9702,0.0913,7.556,-0.4245,0.0667,0.842
936000,124337,234,16.1268,3810.097,0.092,7.626,-0.4346,0.0664,0.8416
940000,124859,235,16.3837,3826.4807,0.0919,7.657,-0.4485,0.0662,0.842
944000,125379,236,16.5339,3843.0146,0.0916,7.685,-0.4656,0.0656,0.8428
948000,125902,237,16.1616,3859.1762,0.0916,7.674,-0.4629,0.0655,0.843
952000,126427,238,16.0369,3875.213,0.0919,7.63,-0.4533,0.0647,0.8434
956000,126943,239,15.8147,3891.0277,0.0914,7.687,-0.4629,0.0645,0.8441
960000,127460,240,16.2897,3907.3174,0.0919,7.737,-0.457,0.0645,0.8436
964000,127980,241,16.1656,3923.483,0.0923,7.703,-0.4469,0.0644,0.8433
